Date,Platform,Campaign,Spend,Revenue,Clicks,Impressions,Conversions
2024-03-25,Facebook Ads,Retargeting,6339.85,30575.17,565,10170,41
2024-03-25,Google Ads,Brand Search,707.69,2824.96,569,8535,24
2024-03-25,Snapchat Ads,Prospecting,5576.91,27764.47,404,6464,25
2024-03-25,Pinterest Ads,Awareness,2106.14,9441.99,589,10602,37
2024-03-25,Tiktok Ads,Video,2267.04,11572.26,413,4543,36
2024-03-25,Affiliate,Affiliation,492.38,2034.27,491,7856,31
2024-03-25,Liveintent,Email,288.81,1518.6,319,5104,24
2024-03-25,Criteo,Display Retargeting,4473.68,19335.38,340,7140,30
2024-03-25,Microsoft Ads,Search,2357.91,9125.63,393,6288,34
2024-03-26,Facebook Ads,Retargeting,1776.22,7653.53,387,9675,22
2024-03-26,Google Ads,Brand Search,4044.57,18123.3,426,8946,14
2024-03-26,Snapchat Ads,Prospecting,4486.42,23084.86,505,6565,33
2024-03-26,Pinterest Ads,Awareness,535.31,2463.08,569,6828,19
2024-03-26,Tiktok Ads,Video,2914.49,14259.74,593,8895,19
2024-03-26,Affiliate,Affiliation,449.88,2286.57,252,2772,22
2024-03-26,Liveintent,Email,4305.32,22752.16,311,7464,27
2024-03-26,Criteo,Display Retargeting,3309.53,13620.51,411,9453,27
2024-03-26,Microsoft Ads,Search,9705.72,39878.9,587,9979,39
2024-03-27,Facebook Ads,Retargeting,337.03,1367.73,294,5292,21
2024-03-27,Google Ads,Brand Search,277.11,1018.42,275,6325,10
2024-03-27,Snapchat Ads,Prospecting,1563.89,5712.34,517,11891,42
2024-03-27,Pinterest Ads,Awareness,1431.19,7545.92,443,4430,17
2024-03-27,Tiktok Ads,Video,1338.02,6216.13,595,6545,46
2024-03-27,Affiliate,Affiliation,11165.88,40001.26,507,6591,16
2024-03-27,Liveintent,Email,1354.13,6968.99,559,11180,34
2024-03-27,Criteo,Display Retargeting,1497.1,7098.02,261,3132,15
2024-03-27,Microsoft Ads,Search,6719.85,23550.42,480,5760,31
2024-03-28,Facebook Ads,Retargeting,2711.61,14363.96,389,4279,30
2024-03-28,Google Ads,Brand Search,6805.69,33696.3,586,14064,34
2024-03-28,Snapchat Ads,Prospecting,306.86,1528.3,555,8325,17
2024-03-28,Pinterest Ads,Awareness,3034.94,14218.13,306,4896,27
2024-03-28,Tiktok Ads,Video,155.21,587.57,419,10056,13
2024-03-28,Affiliate,Affiliation,293.7,1541.67,502,8032,36
2024-03-28,Liveintent,Email,10754.14,53260.02,342,5814,26
2024-03-28,Criteo,Display Retargeting,680.65,3278.46,308,4312,10
2024-03-28,Microsoft Ads,Search,3450.7,12490.12,317,4438,25
2024-03-29,Facebook Ads,Retargeting,1304.04,4699.43,339,3729,24
2024-03-29,Google Ads,Brand Search,1050.89,3882.17,464,11600,39
2024-03-29,Snapchat Ads,Prospecting,5666.74,25975.7,467,6071,29
2024-03-29,Pinterest Ads,Awareness,54.34,259.04,477,11925,15
2024-03-29,Tiktok Ads,Video,2684.51,10728.32,273,3276,9
2024-03-29,Affiliate,Affiliation,8145.9,31038.56,397,6352,31
2024-03-29,Liveintent,Email,2022.87,9486.55,455,9555,27
2024-03-29,Criteo,Display Retargeting,6801.82,31980.75,321,7704,11
2024-03-29,Microsoft Ads,Search,132.19,599.92,593,14232,33
2024-03-30,Facebook Ads,Retargeting,1775.62,7790.26,250,4500,13
2024-03-30,Google Ads,Brand Search,985.95,3561.08,447,9834,25
2024-03-30,Snapchat Ads,Prospecting,4294.27,21276.67,558,7254,35
2024-03-30,Pinterest Ads,Awareness,13020.06,67834.19,458,11450,17
2024-03-30,Tiktok Ads,Video,969.95,4630.29,320,3520,13
2024-03-30,Affiliate,Affiliation,3474.42,18866.49,458,10992,22
2024-03-30,Liveintent,Email,722.38,3612.23,564,10152,36
2024-03-30,Criteo,Display Retargeting,2726.24,11643.63,545,9265,29
2024-03-30,Microsoft Ads,Search,2040.16,11093.51,590,6490,39
2024-03-31,Facebook Ads,Retargeting,10234.16,50911.16,272,2992,16
2024-03-31,Google Ads,Brand Search,2684.2,10434.51,331,6620,25
2024-03-31,Snapchat Ads,Prospecting,1230.77,5722.14,434,9114,25
2024-03-31,Pinterest Ads,Awareness,346.73,1610.94,387,9675,20
2024-03-31,Tiktok Ads,Video,469.35,2257.59,395,8295,13
2024-03-31,Affiliate,Affiliation,730.7,2587.34,479,9580,16
2024-03-31,Liveintent,Email,827.07,2902.11,464,6032,38
2024-03-31,Criteo,Display Retargeting,5441.54,26933.73,425,4250,28
2024-03-31,Microsoft Ads,Search,2357.7,12407.42,425,5525,34
2024-04-01,Facebook Ads,Retargeting,2983.81,13624.81,399,8379,17
2024-04-01,Google Ads,Brand Search,490.85,2309.48,306,5508,18
2024-04-01,Snapchat Ads,Prospecting,7920.41,41065.4,524,5764,42
2024-04-01,Pinterest Ads,Awareness,5166.16,26838.17,474,8532,40
2024-04-01,Tiktok Ads,Video,282.12,1412.43,265,3445,12
2024-04-01,Affiliate,Affiliation,4954.25,25847.43,506,12650,26
2024-04-01,Liveintent,Email,3157.72,15257.53,393,3930,25
2024-04-01,Criteo,Display Retargeting,343.29,1782.44,381,7620,29
2024-04-01,Microsoft Ads,Search,2468.37,9729.02,533,12792,46
2024-04-02,Facebook Ads,Retargeting,1941.01,6878.87,265,5565,20
2024-04-02,Google Ads,Brand Search,530.64,2050.81,369,6273,15
2024-04-02,Snapchat Ads,Prospecting,8528.76,40427.92,594,6534,22
2024-04-02,Pinterest Ads,Awareness,5553.58,19809.9,421,5473,16
2024-04-02,Tiktok Ads,Video,3237.09,13138.5,456,8208,33
2024-04-02,Affiliate,Affiliation,1816.44,9114.94,300,3600,13
2024-04-02,Liveintent,Email,1553.49,5868.16,347,3470,25
2024-04-02,Criteo,Display Retargeting,3081.64,13828.98,595,11305,36
2024-04-02,Microsoft Ads,Search,2308.16,11489.37,264,4488,21
2024-04-03,Facebook Ads,Retargeting,336.63,1735.0,369,9225,15
2024-04-03,Google Ads,Brand Search,3761.63,17717.76,543,6516,24
2024-04-03,Snapchat Ads,Prospecting,8596.76,36786.54,340,7480,21
2024-04-03,Pinterest Ads,Awareness,3218.74,13322.56,505,8585,17
2024-04-03,Tiktok Ads,Video,279.35,1379.83,322,5152,24
2024-04-03,Affiliate,Affiliation,8078.96,41312.27,353,7413,12
2024-04-03,Liveintent,Email,1177.22,5348.56,462,4620,24
2024-04-03,Criteo,Display Retargeting,1566.72,8112.11,600,15000,39
2024-04-03,Microsoft Ads,Search,942.26,3952.23,268,4556,13
2024-04-04,Facebook Ads,Retargeting,1185.8,5996.07,425,8075,21
2024-04-04,Google Ads,Brand Search,4182.47,22837.12,304,7296,14
2024-04-04,Snapchat Ads,Prospecting,2167.73,10756.82,550,11000,43
2024-04-04,Pinterest Ads,Awareness,678.3,3263.09,542,12466,19
2024-04-04,Tiktok Ads,Video,6219.97,29776.31,536,6432,17
2024-04-04,Affiliate,Affiliation,6262.7,22107.5,322,7728,14
2024-04-04,Liveintent,Email,6049.37,32622.86,283,2830,8
2024-04-04,Criteo,Display Retargeting,807.26,3105.05,330,6600,12
2024-04-04,Microsoft Ads,Search,1775.43,6713.36,462,5082,35
2024-04-05,Facebook Ads,Retargeting,11279.16,49607.52,446,5798,17
2024-04-05,Google Ads,Brand Search,3971.37,20110.91,579,5790,32
2024-04-05,Snapchat Ads,Prospecting,73.99,347.21,489,7335,29
2024-04-05,Pinterest Ads,Awareness,181.12,742.0,294,7350,20
2024-04-05,Tiktok Ads,Video,1674.79,5998.47,264,2640,12
2024-04-05,Affiliate,Affiliation,6444.91,32052.52,261,4959,12
2024-04-05,Liveintent,Email,2078.3,10691.62,509,12216,38
2024-04-05,Criteo,Display Retargeting,1850.17,8336.88,554,13296,35
2024-04-05,Microsoft Ads,Search,299.4,1497.62,467,11208,17
2024-04-06,Facebook Ads,Retargeting,3063.26,13540.48,420,6300,20
2024-04-06,Google Ads,Brand Search,4945.73,20685.42,592,8880,40
2024-04-06,Snapchat Ads,Prospecting,1371.28,5502.36,570,5700,25
2024-04-06,Pinterest Ads,Awareness,4280.66,16366.37,428,7276,19
2024-04-06,Tiktok Ads,Video,9560.49,52500.17,413,9499,25
2024-04-06,Affiliate,Affiliation,652.72,3188.62,291,4656,14
2024-04-06,Liveintent,Email,2122.4,10876.88,474,7584,22
2024-04-06,Criteo,Display Retargeting,969.54,3456.38,544,13600,38
2024-04-06,Microsoft Ads,Search,4509.7,24613.74,411,9042,16
2024-04-07,Facebook Ads,Retargeting,1985.86,9757.69,359,7539,21
2024-04-07,Google Ads,Brand Search,2319.83,8378.46,368,8096,12
2024-04-07,Snapchat Ads,Prospecting,3684.81,15084.18,543,5973,41
2024-04-07,Pinterest Ads,Awareness,1161.7,5229.53,558,12276,37
2024-04-07,Tiktok Ads,Video,5682.92,24394.11,458,9618,31
2024-04-07,Affiliate,Affiliation,1754.74,7043.24,331,5296,25
2024-04-07,Liveintent,Email,396.17,1900.38,428,9416,33
2024-04-07,Criteo,Display Retargeting,2743.1,14921.35,250,2500,9
2024-04-07,Microsoft Ads,Search,3632.36,19702.71,366,7686,21
2024-04-08,Facebook Ads,Retargeting,842.03,3263.6,373,4476,11
2024-04-08,Google Ads,Brand Search,4302.13,17247.63,458,8244,39
2024-04-08,Snapchat Ads,Prospecting,5230.17,25190.94,463,7871,40
2024-04-08,Pinterest Ads,Awareness,716.7,3055.29,442,11050,37
2024-04-08,Tiktok Ads,Video,9075.92,46666.94,261,5220,21
2024-04-08,Affiliate,Affiliation,335.23,1578.4,514,8224,41
2024-04-08,Liveintent,Email,498.85,2399.84,470,10810,35
2024-04-08,Criteo,Display Retargeting,450.11,2114.73,545,5450,37
2024-04-08,Microsoft Ads,Search,4961.0,22051.1,394,7880,14
2024-04-09,Facebook Ads,Retargeting,2505.93,12814.09,488,9272,35
2024-04-09,Google Ads,Brand Search,389.27,1655.18,367,8808,25
2024-04-09,Snapchat Ads,Prospecting,1369.31,7415.97,274,4658,12
2024-04-09,Pinterest Ads,Awareness,2253.78,11779.27,468,7488,15
2024-04-09,Tiktok Ads,Video,205.62,975.58,506,12144,25
2024-04-09,Affiliate,Affiliation,5050.26,25204.48,331,4965,29
2024-04-09,Liveintent,Email,3839.99,13856.96,473,8041,28
2024-04-09,Criteo,Display Retargeting,1660.02,8049.6,593,5930,50
2024-04-09,Microsoft Ads,Search,8057.11,43816.43,519,5709,30
